Methode,Categorie,Subcategorie,Naam,ID
Na Klar,Onderbouw MAX,Leerjaar 1-2,1-2 vmbo-bk MAX Leerwerkboek A,na_klar_12bk_lwb_a_bladerboek
,,,1-2 vmbo-bk MAX Leerwerkboek B,na_klar_12bk_lwb_b_bladerboek
,,,1-2 vmbo-gt/havo MAX Leerwerkboek A,na_klar_12gt-h_lwb_a_bladerboek
,,,1-2 vmbo-gt/havo MAX Leerwerkboek B,na_klar_12gth_lwb_b_bladerboek
,,,1-2 havo/vwo MAX Leerwerkboek A,na_klar_12hv_lwb_a_bladerboek
,,,1-2 havo/vwo MAX Leerwerkboek B,na_klar_12hv_lwb_b_bladerboek
,,,1-2 vwo/gymnasium MAX Leerwerkboek A,na_klar_12vg_lwb_a_bladerboek
,,,1-2 vwo/gymnasium MAX Leerwerkboek B,na_klar_12vg_lwb_b_bladerboek
,,Leerjaar 3,3 havo MAX Leerwerkboek A,593543-03_nk_3h_lwb_a_bladerboek
,,,3 havo MAX Leerwerkboek B,593544-03_nk_3h_lwb_b_bladerboek
,,,3 vwo/gymnasium MAX Leerwerkboek A,593545-03_nk_3vg_lwb_a_bladerboek
,,,3 vwo/gymnasium MAX Leerwerkboek B,593546-03_nk_3vg_lwb_b_bladerboek
,,Handbuch,1/2/3 havo/vwo/gymnasium MAX Handbuch,na_klar_1-3hvg_hb_bladerboek
,Bovenbouw vmbo MAX,Leerjaar 3,3 vmbo-bk MAX Leerwerkboek A,na_klar_3bk_lwb_a_bladerboek
,,,3 vmbo-bk MAX Leerwerkboek B,na_klar_3bk_lwb_b_bladerboek
,,,3 vmbo-gt MAX Leerwerkboek A,na_klar_3gt_lwb_a_bladerboek
,,,3 vmbo-gt MAX Leerwerkboek B ,na_klar_3gt_lwb_b_bladerboek
,,Leerjaar 4,4 vmbo-bk MAX Leerwerkboek,na_klar_4bk_lwb_bladerboek
,,,4 vmbo-gt MAX Leerwerkboek,na_klar_4gt_lwb_bladerboek
,,Handbuch,3/4 vmbo MAX Handbuch ,na_klar_vmbo-bb_hb_bladerboek
,Bovenbouw havo/vwo MAX,Leerjaar 4,4 havo MAX Leerwerkboek,na_klar_4h_lwb_bladerboek
,,,4 vwo/gymnasium MAX Leerwerkboek,na_klar_4vg_lwb_bladerboek
,,Leerjaar 5,5 havo MAX Leerwerkboek,605384_nk_5h_lwb_bladerboek
,,,5 vwo/gymnasium MAX Leerwerkboek,599570-01_nk_5vg_lwb_bladerboek
,,Leerjaar 6,6 vwo/gymnasium MAX Leerwerkboek ,na_klar_6vg_lwb_bladerboek
,,Handbuch,4/5/6 havo/vwo/gymnasium MAX Handbuch,na_klar_4-6hvg_hb_bladerboek
,Onderbouw ed. 3,Leerjaar 1-2,1-2 vmbo-bk ed. 3 Tekstboek,540486_nk_12bk_tb_bladerboek
,,,1-2 vmbo-kgt/havo ed. 3 Tekstboek,540529_nk_12kgt-h_tb_bladerboek
,,,1-2 havo/vwo ed. 3 Tekstboek,540537_nk_12hv_tb_bladerboek
,,,1-2 vwo ed. 3 Tekstboek,540542_nk_12_v_tb_bladerboek
